url,preferred category in new site:,alias,status/notes,additional notes,page title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,section_id,categories,,,,
/documents/viewDocument.php?document_id=4016,,rfp,,DAM: KEEP!,City RFP Information,15,14,0:00:17,12,91.67%,80.00%,5,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=2113,,economicvitality,about,,Department of Economic & Sustainable Development,455,355,0:01:08,28,42.86%,15.60%,1,Home,Business,Economic & Sustainable Development,,
/documents/viewDocument.php?document_id=1968,,,about,,Economic & Sustainable Development Staff,"1,027",882,0:02:32,427,68.38%,53.55%,1,Home,Business,Economic & Sustainable Development,Economic & Sustainable Development Staff,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=89,,,b&c,business,Economic Development Commission,198,153,0:00:47,7,71.43%,9.09%,1,Home,Government,Boards and Commissions,Economic Development Commission,
/documents/viewDocument.php?document_id=182,,,b&c,business,Bloomington Industrial Development Advisory Commission,96,74,0:00:40,4,0.00%,6.25%,2,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,
/documents/viewDocument.php?document_id=2117,,,b&c,business,Economic Development Boards & Commissions,73,41,0:00:11,1,0.00%,4.11%,1,Home,Business,Economic & Sustainable Development,Economic Development Boards & Commissions,
/documents/viewDocument.php?document_id=5861,,,b&c,,Sustainable City Commissions,55,40,0:00:19,0,0.00%,9.09%,1,,,,,
/documents/viewDocument.php?document_id=5771,,,b&c,,About Bloomington Commission on Sustainability,48,41,0:00:54,4,75.00%,29.17%,1,Home,Government,Boards and Commissions,Commission on Sustainability,About Bloomington Commission on Sustainability
/documents/viewDocument.php?document_id=1539,,,b&c,keep,BIDAC Minutes,18,9,0:00:22,0,0.00%,11.11%,1,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,BIDAC Minutes
/documents/viewDocument.php?document_id=5972,,,b&c,DAM:keep,About the BAC,13,9,0:01:12,2,50.00%,30.77%,1,,,,,
/documents/viewDocument.php?document_id=1538,,,b&c,DAM: keep,BIDAC Agendas,10,7,0:00:11,0,0.00%,0.00%,1,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,BIDAC Agendas
